Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Annual_Volume_Treated_MG/Yr,Nitrogen_lb_per_Pondshed_Area,Percent_Impervious,Percent_Urban
27,7,375.94,38.39,225.82,10.21,60.07,100.15,0.00,9.3697,0.00,63.49
26,3,237.38,19.86,112.86,8.37,47.54,52.12,0.00,9.3571,0.00,55.85
25,4,124.13,18.53,99.29,14.93,79.99,48.67,0.00,9.2641,0.00,77.61
21,8,171.97,19.25,92.35,11.19,53.70,50.53,0.00,5.9538,0.00,86.43
23,2,120.24,13.90,79.30,11.56,65.95,36.67,0.00,6.6709,0.00,61.25
15,5,485.63,8.28,59.46,1.71,12.24,22.11,0.00,10.7653,0.00,31.26
13,4,354.93,8.49,55.41,2.39,15.61,22.64,0.00,7.4428,0.00,75.82
7,5,319.67,7.87,52.25,2.46,16.34,21.04,0.00,4.6457,0.00,72.42
6,2,173.95,6.38,36.44,3.67,20.95,17.19,0.00,3.8244,0.00,73.11
10,3,259.90,5.10,31.45,1.96,12.10,13.85,0.00,5.4860,0.00,71.21
